variance,percentage,fxy,cxy,reward,done
0.3,0.0,-0.13,-0.7,0.0524,True
0.3,0.0,-0.13,-0.65,0.0489,False
0.3,0.0,-0.13,-0.55,0.0452,False
0.3,0.0,-0.12,-0.75,0.054,True
0.3,0.0,-0.12,-0.7,0.0487,False
0.3,0.0,-0.12,-0.65,0.0445,False
0.3,0.0,-0.12,-0.6,0.042,False
0.3,0.0,-0.12,-0.55,0.0402,False
0.3,0.0,-0.12,-0.5,0.0401,False
0.3,0.0,-0.12,-0.45,0.0409,False
0.3,0.0,-0.11,-0.75,0.0512,True
0.3,0.0,-0.11,-0.7,0.0466,False
0.3,0.0,-0.11,-0.65,0.0421,False
0.3,0.0,-0.11,-0.6,0.0386,False
0.3,0.0,-0.11,-0.55,0.0365,False
0.3,0.0,-0.11,-0.5,0.0354,False
0.3,0.0,-0.11,-0.2,0.0479,False
0.3,0.0,-0.1,-0.8,0.05,True
0.3,0.0,-0.1,-0.75,0.0495,False
0.3,0.0,-0.1,-0.7,0.0442,False
0.3,0.0,-0.1,-0.65,0.0395,False
0.3,0.0,-0.1,-0.6,0.0356,False
0.3,0.0,-0.1,-0.55,0.0329,False
0.3,0.0,-0.1,-0.5,0.031,False
0.3,0.0,-0.1,-0.45,0.0309,False
0.3,0.0,-0.1,-0.4,0.0318,False
0.3,0.0,-0.1,-0.35,0.0337,False
0.3,0.0,-0.1,-0.3,0.0364,False
0.3,0.0,-0.1,-0.25,0.039,False
0.3,0.0,-0.1,-0.2,0.0423,False
0.3,0.0,-0.1,-0.15,0.0448,False
0.3,0.0,-0.1,-0.1,0.0479,False
0.3,0.0,-0.1,0.0,0.0541,True
0.3,0.0,-0.09,-0.8,0.05,True
0.3,0.0,-0.09,-0.75,0.0494,False
0.3,0.0,-0.09,-0.7,0.0435,False
0.3,0.0,-0.09,-0.65,0.038,False
0.3,0.0,-0.09,-0.6,0.0336,False
0.3,0.0,-0.09,-0.55,0.0295,False
0.3,0.0,-0.09,-0.5,0.0274,False
0.3,0.0,-0.09,-0.45,0.0265,False
0.3,0.0,-0.09,-0.4,0.027,False
0.3,0.0,-0.09,-0.35,0.0285,False
0.3,0.0,-0.09,-0.3,0.031,False
0.3,0.0,-0.09,-0.25,0.0331,False
0.3,0.0,-0.09,-0.2,0.0367,False
0.3,0.0,-0.09,-0.15,0.0393,False
0.3,0.0,-0.09,-0.1,0.0424,False
0.3,0.0,-0.09,-0.05,0.0449,False
0.3,0.0,-0.09,0.0,0.048,False
0.3,0.0,-0.09,0.05,0.0509,True
0.3,0.0,-0.09,0.1,0.054,True
0.3,0.0,-0.08,-0.8,0.05,True
0.3,0.0,-0.08,-0.75,0.0497,False
0.3,0.0,-0.08,-0.7,0.043,False
0.3,0.0,-0.08,-0.65,0.0373,False
0.3,0.0,-0.08,-0.6,0.0322,False
0.3,0.0,-0.08,-0.55,0.028,False
0.3,0.0,-0.08,-0.5,0.0247,False
0.3,0.0,-0.08,-0.45,0.0228,False
0.3,0.0,-0.08,-0.4,0.0228,False
0.3,0.0,-0.08,-0.35,0.0237,False
0.3,0.0,-0.08,-0.3,0.0258,False
0.3,0.0,-0.08,-0.25,0.028,False
0.3,0.0,-0.08,-0.2,0.0312,False
0.3,0.0,-0.08,-0.15,0.0341,False
0.3,0.0,-0.08,-0.1,0.0367,False
0.3,0.0,-0.08,-0.05,0.0396,False
0.3,0.0,-0.08,0.0,0.0424,False
0.3,0.0,-0.08,0.05,0.0451,False
0.3,0.0,-0.08,0.1,0.0477,False
0.3,0.0,-0.08,0.15,0.0501,True
0.3,0.0,-0.08,0.2,0.0526,True
0.3,0.0,-0.08,0.25,0.0552,True
0.3,0.0,-0.07,-0.75,0.0501,True
0.3,0.0,-0.07,-0.7,0.0434,False
0.3,0.0,-0.07,-0.65,0.0375,False
0.3,0.0,-0.07,-0.6,0.0319,False
0.3,0.0,-0.07,-0.55,0.0275,False
0.3,0.0,-0.07,-0.5,0.0234,False
