variance,percentage,fxy,cxy,reward,done
0.3,0.0,0.0,0.0,0.001,False
0.3,0.0,0.0,0.05,0.0038,False
0.3,0.0,0.0,0.1,0.0082,False
0.3,0.0,0.0,0.15,0.0128,False
0.3,0.0,0.0,0.2,0.0174,False
0.3,0.0,0.0,0.25,0.0222,False
0.3,0.0,0.0,0.3,0.027,False
0.3,0.0,0.0,0.35,0.032,False
0.3,0.0,0.0,0.4,0.2849,True
0.3,0.0,0.02,0.0,0.0205,False
0.3,0.0,0.02,0.05,0.0175,False
0.3,0.0,0.02,0.1,0.0151,False
0.3,0.0,0.02,0.15,0.0138,False
0.3,0.0,0.02,0.2,0.014,False
0.3,0.0,0.02,0.25,0.0157,False
0.3,0.0,0.02,0.3,0.0186,False
0.3,0.0,0.02,0.35,0.29,True
0.3,0.0,0.04,0.0,0.0403,False
0.3,0.0,0.04,0.05,0.0372,False
0.3,0.0,0.04,0.1,0.0343,False
0.3,0.0,0.04,0.15,0.0319,False
0.3,0.0,0.04,0.2,0.0299,False
0.3,0.0,0.04,0.25,0.0285,False
0.3,0.0,0.04,0.3,0.0278,False
0.3,0.0,0.04,0.35,0.2982,True
0.3,0.0,0.06,0.0,0.0596,True
0.3,0.0,0.06,0.05,0.0564,True
0.3,0.0,0.06,0.1,0.0534,True
0.3,0.0,0.06,0.15,0.0506,True
0.3,0.0,0.06,0.2,0.0481,False
0.3,0.0,0.06,0.25,0.0459,False
0.3,0.0,0.06,0.3,0.044,False
0.3,0.0,0.08,0.2,0.0662,True
0.3,0.0,0.08,0.25,0.0637,True
0.3,0.0,0.08,0.3,0.3146,True
0.3,0.05,0.0,0.0,0.001,False
0.3,0.05,0.0,0.05,0.0038,False
0.3,0.05,0.0,0.1,0.0082,False
0.3,0.05,0.0,0.15,0.0128,False
0.3,0.05,0.0,0.2,0.0174,False
0.3,0.05,0.0,0.25,0.0222,False
0.3,0.05,0.0,0.3,0.027,False
0.3,0.05,0.0,0.35,0.032,False
0.3,0.05,0.0,0.4,0.2849,True
0.3,0.05,0.02,0.0,0.0205,False
0.3,0.05,0.02,0.05,0.0175,False
0.3,0.05,0.02,0.1,0.0151,False
0.3,0.05,0.02,0.15,0.0138,False
0.3,0.05,0.02,0.2,0.014,False
0.3,0.05,0.02,0.25,0.0157,False
0.3,0.05,0.02,0.3,0.0186,False
0.3,0.05,0.02,0.35,0.29,True
0.3,0.05,0.04,0.0,0.0403,False
0.3,0.05,0.04,0.05,0.0372,False
0.3,0.05,0.04,0.1,0.0343,False
0.3,0.05,0.04,0.15,0.0319,False
0.3,0.05,0.04,0.2,0.0299,False
0.3,0.05,0.04,0.25,0.0285,False
0.3,0.05,0.04,0.3,0.0278,False
0.3,0.05,0.04,0.35,0.2982,True
0.3,0.05,0.06,0.0,0.0596,True
