variance,percentage,fxy,cxy,reward,done
0.3,0.0,0.0,0.0,0.0004,False
0.3,0.0,0.0,0.05,0.0038,False
0.3,0.0,0.0,0.1,0.0074,False
0.3,0.0,0.0,0.15,0.0111,False
0.3,0.0,0.0,0.2,0.0146,False
0.3,0.0,0.0,0.25,0.1503,True
0.3,0.0,0.02,0.0,0.0164,False
0.3,0.0,0.02,0.05,0.0141,False
0.3,0.0,0.02,0.1,0.0126,False
0.3,0.0,0.02,0.15,0.012,False
0.3,0.0,0.02,0.2,0.1607,True
0.3,0.0,0.04,0.0,0.032,False
0.3,0.0,0.04,0.05,0.0297,False
0.3,0.0,0.04,0.1,0.0277,False
0.3,0.0,0.04,0.15,0.026,False
0.3,0.0,0.04,0.2,0.0249,False
0.3,0.0,0.06,0.0,0.0471,False
0.3,0.0,0.06,0.05,0.0448,False
0.3,0.0,0.06,0.1,0.0427,False
0.3,0.0,0.06,0.15,0.0408,False
0.3,0.0,0.08,0.0,0.0616,True
0.3,0.0,0.08,0.05,0.0592,True
0.3,0.0,0.08,0.1,0.0571,True
0.3,0.0,0.08,0.15,0.0552,True
0.3,0.05,0.0,0.0,0.0004,False
0.3,0.05,0.0,0.05,0.0038,False
0.3,0.05,0.0,0.1,0.0074,False
0.3,0.05,0.0,0.15,0.0111,False
0.3,0.05,0.0,0.2,0.0146,False
0.3,0.05,0.0,0.25,0.1503,True
0.3,0.05,0.02,0.0,0.0164,False
0.3,0.05,0.02,0.05,0.0141,False
0.3,0.05,0.02,0.1,0.0126,False
0.3,0.05,0.02,0.15,0.012,False
0.3,0.05,0.02,0.2,0.1607,True
0.3,0.05,0.04,0.0,0.032,False
0.3,0.05,0.04,0.05,0.0297,False
0.3,0.05,0.04,0.1,0.0277,False
0.3,0.05,0.04,0.15,0.026,False
0.3,0.05,0.04,0.2,0.0249,False
0.3,0.05,0.04,0.25,0.0241,False
0.3,0.05,0.06,0.0,0.0471,False
0.3,0.05,0.06,0.05,0.0448,False
0.3,0.05,0.06,0.1,0.0427,False
0.3,0.05,0.06,0.15,0.0408,False
0.3,0.05,0.08,0.0,0.0616,True
0.3,0.05,0.08,0.05,0.0592,True
0.3,0.05,0.08,0.1,0.0571,True
0.3,0.05,0.08,0.15,0.0552,True
0.3,0.1,0.0,0.0,0.0004,False
0.3,0.1,0.0,0.05,0.0038,False
0.3,0.1,0.0,0.1,0.0074,False
0.3,0.1,0.0,0.15,0.0111,False
0.3,0.1,0.0,0.2,0.0146,False
0.3,0.1,0.0,0.25,0.1503,True
0.3,0.1,0.02,0.0,0.0164,False
0.3,0.1,0.02,0.05,0.0141,False
0.3,0.1,0.02,0.1,0.0126,False
0.3,0.1,0.02,0.15,0.012,False
0.3,0.1,0.02,0.2,0.1607,True
0.3,0.1,0.04,0.0,0.032,False
0.3,0.1,0.04,0.05,0.0297,False
0.3,0.1,0.04,0.1,0.0277,False
0.3,0.1,0.04,0.15,0.026,False
0.3,0.1,0.06,0.0,0.0471,False
0.3,0.1,0.06,0.05,0.0448,False
0.3,0.1,0.06,0.1,0.0427,False
0.3,0.1,0.06,0.15,0.0408,False
0.3,0.1,0.08,0.0,0.0616,True
0.3,0.1,0.08,0.05,0.0592,True
0.3,0.1,0.08,0.1,0.0571,True
0.3,0.15,0.0,0.0,0.0004,False
0.3,0.15,0.0,0.05,0.0038,False
0.3,0.15,0.0,0.1,0.0074,False
0.3,0.15,0.0,0.15,0.0111,False
0.3,0.15,0.0,0.2,0.0146,False
0.3,0.15,0.02,0.0,0.0164,False
0.3,0.15,0.02,0.05,0.0141,False
0.3,0.15,0.02,0.1,0.0126,False
0.3,0.15,0.02,0.15,0.012,False
0.3,0.15,0.04,0.0,0.032,False
0.3,0.15,0.04,0.05,0.0297,False
0.3,0.15,0.04,0.1,0.0277,False
0.3,0.15,0.04,0.15,0.026,False
0.3,0.15,0.04,0.2,0.0249,False
0.3,0.15,0.04,0.25,0.0241,False
0.3,0.15,0.04,0.3,0.2771,True
0.3,0.15,0.06,0.0,0.0471,False
0.3,0.15,0.06,0.05,0.0448,False
0.3,0.15,0.06,0.1,0.0427,False
0.3,0.15,0.06,0.15,0.0408,False
0.3,0.15,0.06,0.2,0.1796,True
0.3,0.15,0.08,0.0,0.0616,True
0.3,0.15,0.08,0.05,0.0592,True
0.3,0.15,0.08,0.1,0.0571,True
0.3,0.2,0.0,0.0,0.0004,False
0.3,0.2,0.0,0.05,0.0038,False
0.3,0.2,0.0,0.1,0.0074,False
0.3,0.2,0.0,0.15,0.0111,False
0.3,0.2,0.02,0.0,0.0164,False
0.3,0.2,0.02,0.05,0.0141,False
0.3,0.2,0.02,0.1,0.0126,False
0.3,0.2,0.02,0.15,0.012,False
0.3,0.2,0.02,0.25,0.159,True
0.3,0.2,0.04,0.0,0.032,False
0.3,0.2,0.04,0.05,0.0297,False
0.3,0.2,0.04,0.1,0.0277,False
0.3,0.2,0.04,0.15,0.026,False
0.3,0.2,0.04,0.2,0.0249,False
0.3,0.2,0.04,0.25,0.0241,False
0.3,0.2,0.04,0.3,0.2771,True
0.3,0.2,0.06,0.0,0.0471,False
0.3,0.2,0.06,0.05,0.0448,False
0.3,0.2,0.06,0.1,0.0427,False
0.3,0.2,0.06,0.15,0.0408,False
0.3,0.2,0.06,0.2,0.1796,True
0.3,0.2,0.08,0.0,0.0616,True
0.3,0.2,0.08,0.05,0.0592,True
0.3,0.2,0.08,0.1,0.0571,True
0.3,0.25,0.0,0.0,0.0004,False
0.3,0.25,0.0,0.05,0.0038,False
0.3,0.25,0.0,0.1,0.0074,False
0.3,0.25,0.02,0.0,0.0164,False
0.3,0.25,0.02,0.05,0.0141,False
0.3,0.25,0.02,0.1,0.0126,False
0.3,0.25,0.02,0.15,0.012,False
0.3,0.25,0.02,0.2,0.1607,True
0.3,0.25,0.04,0.0,0.032,False
0.3,0.25,0.04,0.05,0.0297,False
0.3,0.25,0.04,0.1,0.0277,False
0.3,0.25,0.04,0.15,0.026,False
0.3,0.25,0.04,0.2,0.0249,False
0.3,0.25,0.04,0.25,0.0241,False
0.3,0.25,0.06,0.0,0.0471,False
0.3,0.25,0.06,0.05,0.0448,False
0.3,0.25,0.06,0.1,0.0427,False
0.3,0.25,0.06,0.15,0.0408,False
