variance,percentage,fxy,cxy,reward,done
0.3,0.0,-0.03,0.05,0.0198,False
0.3,0.0,-0.02,-0.1,0.0089,False
0.3,0.0,-0.02,-0.05,0.012,False
0.3,0.0,-0.02,0.05,0.0141,False
0.3,0.0,-0.01,-0.35,0.0207,False
0.3,0.0,-0.01,-0.3,0.0173,False
0.3,0.0,-0.01,-0.25,0.014,False
0.3,0.0,-0.01,-0.1,0.0081,False
0.3,0.0,-0.01,-0.05,0.0074,False
0.3,0.0,-0.01,0.0,0.0083,False
0.3,0.0,-0.01,0.05,0.0094,False
0.3,0.0,-0.01,0.1,0.0113,False
0.3,0.0,0.0,-0.05,0.0079,False
0.3,0.0,0.0,0.0,0.0058,False
0.3,0.0,0.0,0.05,0.006,False
0.3,0.0,0.0,0.1,0.0072,False
0.3,0.0,0.0,0.15,0.009,False
0.3,0.0,0.01,-0.15,0.0153,False
0.3,0.0,0.01,-0.1,0.0125,False
0.3,0.0,0.01,-0.05,0.01,False
0.3,0.0,0.01,0.0,0.0078,False
0.3,0.0,0.01,0.05,0.0054,False
0.3,0.0,0.01,0.2,0.008,False
0.3,0.0,0.02,-0.2,0.022,False
0.3,0.0,0.02,-0.15,0.0192,False
0.3,0.0,0.02,-0.05,0.0135,False
0.3,0.0,0.02,0.0,0.0108,False
0.3,0.0,0.03,-0.2,0.0261,False
0.3,0.0,0.03,-0.15,0.0231,False
0.3,0.0,0.03,-0.05,0.0173,False
0.3,0.0,0.03,0.0,0.0145,False
0.3,0.05,-0.05,0.15,0.0333,False
0.3,0.05,-0.04,0.05,0.023,False
0.3,0.05,-0.04,0.1,0.0257,False
0.3,0.05,-0.04,0.15,0.028,False
0.3,0.05,-0.03,0.05,0.0198,False
0.3,0.05,-0.03,0.1,0.0206,False
0.3,0.05,-0.01,-0.3,0.0173,False
0.3,0.05,-0.01,-0.05,0.0074,False
0.3,0.05,-0.01,0.0,0.0083,False
0.3,0.05,-0.01,0.05,0.0094,False
0.3,0.05,-0.01,0.1,0.0113,False
0.3,0.05,-0.01,0.15,0.0134,False
0.3,0.05,0.0,0.0,0.0058,False
0.3,0.05,0.0,0.05,0.006,False
0.3,0.05,0.0,0.1,0.0072,False
0.3,0.05,0.0,0.15,0.009,False
0.3,0.05,0.01,-0.2,0.018,False
0.3,0.05,0.01,0.05,0.0054,False
0.3,0.05,0.01,0.1,0.0045,False
0.3,0.05,0.01,0.2,0.008,False
0.3,0.05,0.02,-0.2,0.022,False
0.3,0.05,0.02,-0.15,0.0192,False
0.3,0.05,0.02,-0.1,0.0162,False
0.3,0.05,0.02,0.0,0.0108,False
0.3,0.05,0.02,0.15,0.006,False
0.3,0.05,0.02,0.2,0.0065,False
0.3,0.05,0.02,0.25,0.0087,False
0.3,0.05,0.03,-0.05,0.0173,False
0.3,0.05,0.03,0.0,0.0145,False
0.3,0.05,0.03,0.05,0.0119,False
0.3,0.05,0.03,0.1,0.0102,False
0.3,0.05,0.04,0.1,0.0135,False
0.3,0.05,0.05,0.1,0.0182,False
0.3,0.05,0.06,-0.1,0.032,False
0.3,0.1,-0.05,0.1,0.031,False
0.3,0.1,-0.05,0.15,0.0333,False
0.3,0.1,-0.05,0.2,0.0358,False
