variance,percentage,fxy,cxy,reward,done
0.3,0.0,0.0,0.0,0.0007,False
0.3,0.0,0.0,0.05,0.0053,False
0.3,0.0,0.0,0.1,0.1249,True
0.3,0.0,0.02,0.0,0.0167,False
0.3,0.0,0.02,0.05,0.0121,False
0.3,0.0,0.02,0.1,0.1356,True
0.3,0.0,0.04,0.0,0.0326,False
0.3,0.0,0.04,0.05,0.147,True
0.3,0.0,0.06,0.0,0.1589,True
0.3,0.05,0.0,0.0,0.0007,False
0.3,0.05,0.0,0.05,0.0053,False
0.3,0.05,0.0,0.1,0.1249,True
0.3,0.05,0.02,0.0,0.0167,False
0.3,0.05,0.02,0.05,0.0121,False
0.3,0.05,0.02,0.1,0.1356,True
0.3,0.05,0.04,0.0,0.0326,False
0.3,0.05,0.04,0.05,0.147,True
0.3,0.05,0.06,0.0,0.1589,True
0.3,0.1,0.0,0.0,0.0007,False
0.3,0.1,0.0,0.05,0.0053,False
0.3,0.1,0.0,0.1,0.1249,True
0.3,0.1,0.02,0.0,0.0167,False
0.3,0.1,0.02,0.05,0.0121,False
0.3,0.1,0.02,0.1,0.1356,True
0.3,0.1,0.04,0.0,0.0326,False
0.3,0.1,0.04,0.05,0.147,True
0.3,0.1,0.06,0.0,0.1589,True
0.3,0.15,0.0,0.0,0.0007,False
0.3,0.15,0.0,0.05,0.0053,False
0.3,0.15,0.02,0.0,0.0167,False
0.3,0.15,0.02,0.05,0.0121,False
0.3,0.15,0.02,0.1,0.1356,True
0.3,0.15,0.04,0.0,0.0326,False
0.3,0.15,0.04,0.05,0.147,True
0.3,0.15,0.06,0.0,0.1589,True
0.3,0.2,0.0,0.0,0.0007,False
0.3,0.2,0.0,0.05,0.0053,False
0.3,0.2,0.0,0.1,0.1249,True
0.3,0.2,0.02,0.0,0.0167,False
0.3,0.2,0.02,0.05,0.0121,False
0.3,0.2,0.02,0.1,0.1356,True
0.3,0.2,0.04,0.0,0.0326,False
0.3,0.2,0.04,0.05,0.147,True
0.3,0.2,0.06,0.0,0.1589,True
0.3,0.25,0.0,0.0,0.0007,False
0.3,0.25,0.0,0.05,0.0053,False
0.3,0.25,0.02,0.0,0.0167,False
0.3,0.25,0.02,0.05,0.0121,False
0.3,0.25,0.04,0.0,0.0326,False
0.3,0.25,0.04,0.05,0.147,True
0.3,0.25,0.06,0.0,0.1589,True
0.3,0.3,0.0,0.0,0.0007,False
0.3,0.3,0.0,0.05,0.0053,False
0.3,0.3,0.02,0.0,0.0167,False
0.3,0.3,0.04,0.0,0.0326,False
0.3,0.3,0.06,0.0,0.1589,True
0.3,0.35,0.0,0.0,0.0007,False
0.3,0.35,0.02,0.0,0.0167,False
0.3,0.35,0.04,0.0,0.0326,False
0.3,0.4,0.0,0.0,0.0007,False
0.3,0.4,0.02,0.0,0.0167,False
0.3,0.4,0.04,0.0,0.0326,False
0.3,0.45,0.0,0.0,0.0007,False
0.3,0.45,0.02,0.0,0.0167,False
0.4,0.0,0.0,0.0,0.0007,False
0.4,0.0,0.0,0.05,0.0053,False
0.4,0.0,0.0,0.1,0.1249,True
0.4,0.0,0.02,0.0,0.0167,False
0.4,0.0,0.02,0.05,0.0121,False
0.4,0.0,0.02,0.1,0.1356,True
0.4,0.0,0.04,0.0,0.0326,False
0.4,0.0,0.04,0.05,0.147,True
0.4,0.0,0.06,0.0,0.1589,True
0.4,0.05,0.0,0.0,0.0007,False
0.4,0.05,0.0,0.05,0.0053,False
0.4,0.05,0.0,0.1,0.1249,True
0.4,0.05,0.02,0.0,0.0167,False
0.4,0.05,0.02,0.05,0.0121,False
0.4,0.05,0.02,0.1,0.1356,True
0.4,0.05,0.04,0.0,0.0326,False
0.4,0.05,0.04,0.05,0.147,True
0.4,0.05,0.06,0.0,0.1589,True
0.4,0.1,0.0,0.0,0.0007,False
0.4,0.1,0.0,0.05,0.0053,False
0.4,0.1,0.0,0.1,0.1249,True
0.4,0.1,0.02,0.0,0.0167,False
0.4,0.1,0.02,0.05,0.0121,False
0.4,0.1,0.02,0.1,0.1356,True
0.4,0.1,0.04,0.0,0.0326,False
0.4,0.1,0.04,0.05,0.147,True
0.4,0.1,0.06,0.0,0.1589,True
0.4,0.15,0.0,0.0,0.0007,False
0.4,0.15,0.0,0.05,0.0053,False
0.4,0.15,0.02,0.0,0.0167,False
0.4,0.15,0.02,0.05,0.0121,False
0.4,0.15,0.02,0.1,0.1356,True
0.4,0.15,0.04,0.0,0.0326,False
0.4,0.15,0.04,0.05,0.147,True
0.4,0.15,0.06,0.0,0.1589,True
0.4,0.2,0.0,0.0,0.0007,False
0.4,0.2,0.0,0.05,0.0053,False
0.4,0.2,0.0,0.1,0.1249,True
0.4,0.2,0.02,0.0,0.0167,False
0.4,0.2,0.02,0.05,0.0121,False
0.4,0.2,0.02,0.1,0.1356,True
0.4,0.2,0.04,0.0,0.0326,False
0.4,0.2,0.04,0.05,0.147,True
0.4,0.2,0.06,0.0,0.1589,True
0.4,0.25,0.0,0.0,0.0007,False
0.4,0.25,0.0,0.05,0.0053,False
0.4,0.25,0.02,0.0,0.0167,False
0.4,0.25,0.02,0.05,0.0121,False
0.4,0.25,0.04,0.0,0.0326,False
0.4,0.3,0.0,0.0,0.0007,False
0.4,0.3,0.0,0.05,0.0053,False
0.4,0.3,0.02,0.0,0.0167,False
0.4,0.3,0.02,0.05,0.0121,False
0.4,0.3,0.04,0.0,0.0326,False
0.4,0.3,0.04,0.05,0.147,True
0.4,0.3,0.06,0.0,0.1589,True
0.4,0.35,0.0,0.0,0.0007,False
0.4,0.35,0.02,0.0,0.0167,False
0.4,0.35,0.02,0.05,0.0121,False
0.4,0.35,0.02,0.1,0.1356,True
0.4,0.35,0.04,0.0,0.0326,False
0.4,0.4,0.02,0.0,0.0167,False
0.4,0.4,0.04,0.0,0.0326,False
0.4,0.45,0.0,0.0,0.0007,False
0.4,0.45,0.02,0.0,0.0167,False
0.4,0.45,0.04,0.0,0.0326,False
0.4,0.5,0.0,0.0,0.0007,False
0.5,0.0,0.0,0.0,0.0007,False
0.5,0.0,0.0,0.05,0.0053,False
0.5,0.0,0.0,0.1,0.1249,True
0.5,0.0,0.02,0.0,0.0167,False
0.5,0.0,0.02,0.05,0.0121,False
0.5,0.0,0.02,0.1,0.1356,True
0.5,0.0,0.04,0.0,0.0326,False
0.5,0.0,0.04,0.05,0.147,True
0.5,0.0,0.06,0.0,0.1589,True
0.5,0.05,0.0,0.0,0.0007,False
0.5,0.05,0.0,0.05,0.0053,False
0.5,0.05,0.0,0.1,0.1249,True
0.5,0.05,0.02,0.0,0.0167,False
0.5,0.05,0.02,0.05,0.0121,False
0.5,0.05,0.02,0.1,0.1356,True
0.5,0.05,0.04,0.0,0.0326,False
0.5,0.05,0.04,0.05,0.147,True
0.5,0.05,0.06,0.0,0.1589,True
0.5,0.1,0.0,0.0,0.0007,False
0.5,0.1,0.0,0.05,0.0053,False
0.5,0.1,0.0,0.1,0.1249,True
0.5,0.1,0.02,0.0,0.0167,False
0.5,0.1,0.02,0.05,0.0121,False
0.5,0.1,0.02,0.1,0.1356,True
0.5,0.1,0.04,0.0,0.0326,False
0.5,0.1,0.04,0.05,0.147,True
0.5,0.1,0.06,0.0,0.1589,True
0.5,0.15,0.0,0.0,0.0007,False
0.5,0.15,0.0,0.05,0.0053,False
0.5,0.15,0.0,0.1,0.1249,True
0.5,0.15,0.02,0.0,0.0167,False
0.5,0.15,0.02,0.05,0.0121,False
0.5,0.15,0.04,0.0,0.0326,False
0.5,0.15,0.04,0.05,0.147,True
0.5,0.15,0.06,0.0,0.1589,True
0.5,0.2,0.0,0.0,0.0007,False
0.5,0.2,0.0,0.05,0.0053,False
0.5,0.2,0.02,0.0,0.0167,False
0.5,0.2,0.02,0.05,0.0121,False
0.5,0.2,0.04,0.0,0.0326,False
0.5,0.2,0.04,0.05,0.147,True
0.5,0.2,0.06,0.0,0.1589,True
0.5,0.25,0.0,0.0,0.0007,False
0.5,0.25,0.0,0.05,0.0053,False
0.5,0.25,0.02,0.0,0.0167,False
0.5,0.25,0.02,0.05,0.0121,False
0.5,0.25,0.04,0.0,0.0326,False
0.5,0.25,0.04,0.05,0.147,True
0.5,0.25,0.06,0.0,0.1589,True
0.5,0.3,0.0,0.0,0.0007,False
0.5,0.3,0.0,0.05,0.0053,False
0.5,0.3,0.0,0.1,0.1249,True
0.5,0.3,0.02,0.0,0.0167,False
0.5,0.3,0.04,0.0,0.0326,False
0.5,0.3,0.06,0.0,0.1589,True
0.5,0.35,0.0,0.0,0.0007,False
0.5,0.35,0.02,0.0,0.0167,False
0.5,0.35,0.04,0.0,0.0326,False
0.5,0.35,0.06,0.0,0.1589,True
0.5,0.4,0.0,0.0,0.0007,False
0.5,0.4,0.02,0.0,0.0167,False
0.5,0.4,0.04,0.0,0.0326,False
0.5,0.4,0.04,0.05,0.147,True
0.5,0.45,0.0,0.0,0.0007,False
0.5,0.45,0.02,0.0,0.0167,False
0.5,0.45,0.04,0.0,0.0326,False
0.5,0.5,0.04,0.0,0.0326,False
0.6,0.0,0.0,0.0,0.0007,False
0.6,0.0,0.0,0.05,0.0053,False
0.6,0.0,0.0,0.1,0.1249,True
0.6,0.0,0.02,0.0,0.0167,False
0.6,0.0,0.02,0.05,0.0121,False
0.6,0.0,0.02,0.1,0.1356,True
0.6,0.0,0.04,0.0,0.0326,False
0.6,0.0,0.04,0.05,0.147,True
0.6,0.0,0.06,0.0,0.1589,True
0.6,0.05,0.0,0.0,0.0007,False
0.6,0.05,0.0,0.05,0.0053,False
0.6,0.05,0.02,0.0,0.0167,False
0.6,0.05,0.02,0.05,0.0121,False
0.6,0.05,0.02,0.1,0.1356,True
0.6,0.05,0.04,0.0,0.0326,False
0.6,0.05,0.04,0.05,0.147,True
0.6,0.05,0.06,0.0,0.1589,True
0.6,0.1,0.0,0.0,0.0007,False
0.6,0.1,0.0,0.05,0.0053,False
0.6,0.1,0.0,0.1,0.1249,True
0.6,0.1,0.02,0.0,0.0167,False
0.6,0.1,0.02,0.05,0.0121,False
0.6,0.1,0.02,0.1,0.1356,True
0.6,0.1,0.04,0.0,0.0326,False
0.6,0.1,0.04,0.05,0.147,True
0.6,0.1,0.06,0.0,0.1589,True
0.6,0.15,0.0,0.0,0.0007,False
0.6,0.15,0.0,0.05,0.0053,False
0.6,0.15,0.02,0.0,0.0167,False
0.6,0.15,0.02,0.05,0.0121,False
0.6,0.15,0.04,0.0,0.0326,False
0.6,0.15,0.06,0.0,0.1589,True
0.6,0.2,0.0,0.0,0.0007,False
0.6,0.2,0.0,0.05,0.0053,False
0.6,0.2,0.02,0.0,0.0167,False
0.6,0.2,0.02,0.05,0.0121,False
0.6,0.2,0.04,0.0,0.0326,False
0.6,0.2,0.06,0.0,0.1589,True
0.6,0.25,0.0,0.0,0.0007,False
0.6,0.25,0.0,0.05,0.0053,False
0.6,0.25,0.02,0.0,0.0167,False
0.6,0.25,0.02,0.05,0.0121,False
0.6,0.25,0.04,0.0,0.0326,False
0.6,0.25,0.06,0.0,0.1589,True
0.6,0.3,0.0,0.0,0.0007,False
0.6,0.3,0.02,0.0,0.0167,False
0.6,0.3,0.04,0.0,0.0326,False
0.6,0.3,0.06,0.0,0.1589,True
0.6,0.35,0.0,0.0,0.0007,False
0.6,0.35,0.0,0.05,0.0053,False
0.6,0.35,0.02,0.0,0.0167,False
0.6,0.35,0.04,0.0,0.0326,False
0.6,0.35,0.06,0.0,0.1589,True
0.6,0.4,0.0,0.0,0.0007,False
0.6,0.4,0.02,0.0,0.0167,False
0.6,0.4,0.04,0.0,0.0326,False
0.6,0.4,0.06,0.0,0.1589,True
0.6,0.45,0.0,0.0,0.0007,False
0.6,0.45,0.02,0.0,0.0167,False
0.6,0.45,0.04,0.0,0.0326,False
0.6,0.45,0.06,0.0,0.1589,True
0.6,0.5,0.02,0.0,0.0167,False
0.6,0.5,0.04,0.0,0.0326,False
0.6,0.55,0.04,0.0,0.0326,False
0.7,0.0,0.0,0.0,0.0007,False
0.7,0.0,0.0,0.05,0.0053,False
0.7,0.0,0.02,0.0,0.0167,False
0.7,0.0,0.02,0.05,0.0121,False
0.7,0.0,0.02,0.1,0.1356,True
0.7,0.0,0.04,0.0,0.0326,False
0.7,0.0,0.04,0.05,0.147,True
0.7,0.0,0.06,0.0,0.1589,True
0.7,0.05,0.0,0.0,0.0007,False
0.7,0.05,0.0,0.05,0.0053,False
0.7,0.05,0.0,0.1,0.1249,True
0.7,0.05,0.02,0.0,0.0167,False
0.7,0.05,0.02,0.05,0.0121,False
0.7,0.05,0.02,0.1,0.1356,True
0.7,0.05,0.04,0.0,0.0326,False
0.7,0.05,0.04,0.05,0.147,True
0.7,0.05,0.06,0.0,0.1589,True
0.7,0.1,0.0,0.0,0.0007,False
0.7,0.1,0.0,0.05,0.0053,False
0.7,0.1,0.0,0.1,0.1249,True
0.7,0.1,0.02,0.0,0.0167,False
0.7,0.1,0.02,0.05,0.0121,False
0.7,0.1,0.02,0.1,0.1356,True
0.7,0.1,0.04,0.0,0.0326,False
0.7,0.1,0.04,0.05,0.147,True
0.7,0.1,0.06,0.0,0.1589,True
0.7,0.15,0.0,0.0,0.0007,False
0.7,0.15,0.0,0.05,0.0053,False
0.7,0.15,0.02,0.0,0.0167,False
0.7,0.15,0.02,0.05,0.0121,False
0.7,0.15,0.04,0.0,0.0326,False
0.7,0.15,0.06,0.0,0.1589,True
0.7,0.2,0.0,0.0,0.0007,False
0.7,0.2,0.0,0.05,0.0053,False
0.7,0.2,0.02,0.0,0.0167,False
0.7,0.2,0.02,0.05,0.0121,False
0.7,0.2,0.04,0.0,0.0326,False
0.7,0.2,0.04,0.05,0.147,True
0.7,0.2,0.06,0.0,0.1589,True
0.7,0.25,0.0,0.0,0.0007,False
0.7,0.25,0.0,0.05,0.0053,False
0.7,0.25,0.0,0.1,0.1249,True
0.7,0.25,0.02,0.0,0.0167,False
0.7,0.25,0.02,0.05,0.0121,False
0.7,0.25,0.04,0.0,0.0326,False
0.7,0.25,0.06,0.0,0.1589,True
0.7,0.3,0.0,0.0,0.0007,False
0.7,0.3,0.02,0.0,0.0167,False
0.7,0.3,0.02,0.05,0.0121,False
0.7,0.3,0.04,0.0,0.0326,False
0.7,0.3,0.06,0.0,0.1589,True
0.7,0.35,0.0,0.0,0.0007,False
0.7,0.35,0.0,0.05,0.0053,False
0.7,0.35,0.0,0.1,0.1249,True
0.7,0.35,0.02,0.0,0.0167,False
0.7,0.35,0.04,0.0,0.0326,False
0.7,0.4,0.0,0.0,0.0007,False
0.7,0.4,0.02,0.0,0.0167,False
0.7,0.4,0.04,0.0,0.0326,False
0.7,0.4,0.06,0.0,0.1589,True
0.7,0.45,0.0,0.0,0.0007,False
0.7,0.45,0.0,0.05,0.0053,False
0.7,0.45,0.02,0.0,0.0167,False
0.7,0.45,0.04,0.0,0.0326,False
0.7,0.5,0.02,0.0,0.0167,False
0.7,0.5,0.04,0.0,0.0326,False
0.7,0.55,0.02,0.0,0.0167,False
0.8,0.0,0.0,0.0,0.0007,False
0.8,0.0,0.0,0.05,0.0053,False
0.8,0.0,0.02,0.0,0.0167,False
0.8,0.0,0.02,0.05,0.0121,False
0.8,0.0,0.02,0.1,0.1356,True
0.8,0.0,0.04,0.0,0.0326,False
0.8,0.0,0.04,0.05,0.147,True
0.8,0.0,0.06,0.0,0.1589,True
0.8,0.05,0.0,0.0,0.0007,False
0.8,0.05,0.0,0.05,0.0053,False
0.8,0.05,0.0,0.1,0.1249,True
0.8,0.05,0.02,0.0,0.0167,False
0.8,0.05,0.02,0.05,0.0121,False
0.8,0.05,0.04,0.0,0.0326,False
0.8,0.05,0.04,0.05,0.147,True
0.8,0.05,0.06,0.0,0.1589,True
0.8,0.1,0.0,0.0,0.0007,False
0.8,0.1,0.0,0.05,0.0053,False
0.8,0.1,0.02,0.0,0.0167,False
0.8,0.1,0.02,0.05,0.0121,False
0.8,0.1,0.04,0.0,0.0326,False
0.8,0.1,0.04,0.05,0.147,True
0.8,0.1,0.06,0.0,0.1589,True
0.8,0.15,0.0,0.0,0.0007,False
0.8,0.15,0.0,0.05,0.0053,False
0.8,0.15,0.02,0.0,0.0167,False
0.8,0.15,0.02,0.05,0.0121,False
0.8,0.15,0.04,0.0,0.0326,False
0.8,0.15,0.04,0.05,0.147,True
0.8,0.15,0.06,0.0,0.1589,True
0.8,0.2,0.0,0.0,0.0007,False
0.8,0.2,0.0,0.05,0.0053,False
0.8,0.2,0.02,0.0,0.0167,False
